Product;Report Scope;Factory;Model;Report Model;Status Report;Valid From;Valid To;Notes
LCD;LOCAL;SKW;2T-C32GH3000I;2T-C32GH3000I;1;25-Sep-24;;
LCD;LOCAL;SKW;2T-C43GH3000I;2T-C43GH3000I;1;18-Oct-24;;
LCD;LOCAL;MOKA;4T-C43HJ6000I;4T-C43HJ6000I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C50HJ6000I;4T-C50HJ6000I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C55HJ6000I;4T-C55HJ6000I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C50HL6500I;4T-C50HL6500I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C55HL6500I;4T-C55HL6500I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C65HL6500I;4T-C65HL6500I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C75HL6500I;4T-C75HL6500I;1;04-Jun-25;;
LCD;LOCAL;MOKA;4T-C65HJ6000I;4T-C65HJ6000I;1;16-Jun-25;;
LCD;LOCAL;MOKA;4T-C75HJ6000I;4T-C75HJ6000I;1;16-Jun-25;;
LCD;LOCAL;MOKA;4TC75HJ6000IG;4T-C75HJ6000I;1;16-Jun-25;;Mapped to 4T-C75HJ6000I
LCD;LOCAL;MOKA;2T-C24HD1500I;2T-C24HD1500I;1;17-Jun-25;;
LCD;LOCAL;MOKA;2TC24HD1400I;2T-C24HD1500I;1;17-Jun-25;;Mapped to 2T-C24HD1500I
LCD;LOCAL;MOKA;2T-C32HD1500I;2T-C32HD1500I;1;17-Jun-25;;
LCD;LOCAL;MOKA;2T-C43HD1500I;2T-C43HD1500I;1;24-Jun-25;;
LCD;LOCAL;MOKA;2TC32HD1400I;2T-C32HD1500I;1;17-Jun-25;;Mapped to 2T-C32HD1500I
LCD;IMPORT;MOKA;4T-C85HU8500X;4T-C85HU8500X;1;11-Jul-25;;
LCD;IMPORT;MOKA;4T-C85HN7000X;4T-C85HN7000X;1;11-Jul-25;;
LCD;IMPORT;MOKA;4T-C98HN7000X;4T-C98HN7000X;1;11-Jul-25;;
